id,conversation_id,username,in_reply_to_screen_name,full_text,image_url,tweet_url,lang,location,favorite_count,quote_count,reply_count,retweet_count,user_id,created_at
1992976692072305000,1992976692072305000,1628790980181884933,,Pay with Pi Welcoming the beautiful Christmas day of course there are many small necessities that are used Now Pi coins worth GCV are useful among small traders like us With a payment system using Pi coins we create a real ecosystem with our beloved Pioneers https://t.co/A9Tnob3RKi,https://pbs.twimg.com/ext_tw_video_thumb/1992976655372238849/pu/img/HGleggwj-g75qz8k.jpg,2,en,Nusa Tenggara Timur,4,0,0,0,,2025-11-24 22:20:45
1992969633360650200,1992969633360650200,blackorbird,,Shai Hulud is a self-replicating npm worm that executes malicious code via the postinstall script during package installation. It uses the TruffleHog tool to scan the system steal sensitive information (such as API keys and tokens) and upload it to randomly named repositories https://t.co/WEoPzOMLMM,https://pbs.twimg.com/media/G6hx2b1b0AAqio3.jpg,https://x.com/blackorbird/status/1992969633360650267,en,,2,0,0,0,704115137116942300,2025-11-24 21:52:42
1992969631120740400,1992969629514297600,akshaysingh__,akshaysingh__,Reference - https://t.co/kAyYTTStDa,,https://x.com/akshaysingh__/status/1992969631120740359,en,,0,0,0,0,980827780987441200,2025-11-24 21:52:42
1992969629514297600,1992969629514297600,akshaysingh__,, Alert: The supply-chain worm Shai-Hulud is back. According to @wiz_io the attackers have compromised several popular npm packages including those from Zapier ENS Domains PostHog and Postman and are even creating GitHub repos containing stolen victim data. https://t.co/ELp7VsLw04,https://pbs.twimg.com/tweet_video_thumb/G6hzUD-WgAAGUKn.jpg,https://x.com/akshaysingh__/status/1992969629514297627,en,,0,0,1,0,980827780987441200,2025-11-24 21:52:41
1992969478250898000,1992969478250898000,cra,,fun... Shai-Hulud Returns: Over 300 NPM Packages and 27K+ Github Repos infected via Fake Bun Runtime Within Hours https://t.co/IDN9uipEj4,,https://x.com/cra/status/1992969478250897842,en,Austin,1,0,0,0,14602130,2025-11-24 21:52:05
1992968602580848600,1992968602580848600,1448960101440757764,,Shai Hulud Malware: NPM s Growing Crypto Security Crisis https://t.co/fnQ3G2B3FN,,0,en,London,0,0,0,0,,2025-11-24 21:48:37
1992967682853950000,1992967682853950000,mawasolutions,,Heise-News: Shai-Hulud 2: Neue Version des NPM-Wurms greift auch Low-Code-Plattformen an https://t.co/jaEWF1MbVo,,https://x.com/mawasolutions/status/1992967682853949855,de,78628 Rottweil,0,0,0,0,333951397,2025-11-24 21:44:57
1992967393660883500,1992966233675735300,1538299243,cyb3rops,More info: https://t.co/TeT86Qd7YZ https://t.co/baz7gMSjfT,,3,en,Frankfurt,2,0,0,0,,2025-11-24 21:43:48
1992967294851412200,1992967294851412200,CryptoIndiaMag,,Security Alert: Over 400 NPM packages compromised in a Shai-Hulud worm attack including key ENS &amp; crypto libs like content-hash. Steals dev credentials &amp; wallet keys. Devs: Audit installs rotate secrets now. #CyberSecurity #Crypto,,https://x.com/CryptoIndiaMag/status/1992967294851412126,en,Bangalore,0,0,0,0,1694702761731108900,2025-11-24 21:43:25
1992967156401639400,1992967156401639400,CharlieEriksen,,https://t.co/dhhXnpKBH0,,https://x.com/CharlieEriksen/status/1992967156401639429,zxx,Amsterdam,2,0,0,0,18391186,2025-11-24 21:42:52
1992966225979396000,1992966225979396000,alternatepen,,just Lisan Al-Gaib trying to ride Shai Hulud,,https://x.com/alternatepen/status/1992966225979396224,en,,0,0,0,0,1680528975792337000,2025-11-24 21:39:10
1992965945464099000,1992965945464099000,fridaysecurity,,️ Shai-Hulud malware infects 500 npm packages leaks secrets on GitHub https://t.co/WiPTLkixBJ,,https://x.com/fridaysecurity/status/1992965945464099195,en,127.0.0.1,0,0,0,0,1518632963084361700,2025-11-24 21:38:03
1992965897342869500,1992965897342869500,1366773343634997255,,A new supply-chain attack has compromised 500 npm packages including popular ones like Zapier and Postman. The Shai-Hulud malware is leaking sensitive data on GitHub. Stay informed about this alarming security breach. Read more: https://t.co/HFlXtmkoJM,,0,en,Haysville,0,0,0,0,,2025-11-24 21:37:52
1992965459881382000,1992965459881382000,1106654670246871047,,Shai-Hulud malware infects 500 npm packages leaks secrets on GitHub https://t.co/SRwjydlOM3 #Security https://t.co/qZwny9yimI,https://pbs.twimg.com/media/G6hvhF3bcAAkY1W.jpg,0,en,Denver,1,0,0,0,,2025-11-24 21:36:07
1992965329400615200,1992965254913950000,scholz_felix,scholz_felix,You can read more here from people smarter than me: https://t.co/l6T3Lm8PWq,,https://x.com/scholz_felix/status/1992965329400615291,en,,0,0,0,0,525571965,2025-11-24 21:35:36
1992965129244226000,1992965129244226000,Vulcanux_,,New best story on Hacker News: Shai-Hulud Returns: Over 300 NPM Packages Infected https://t.co/EwvTmgNPIp,,https://x.com/Vulcanux_/status/1992965129244225989,en,Deep inside mount Etna.,0,0,0,0,1171930259538829300,2025-11-24 21:34:48
1992965017302343700,1992965017302343700,securityRSS,,A new npm supply-chain attack referencing Shai-Hulud malware has compromised multiple packages from organizations like Zapier ENS Domains PostHog and Postman. Over 25 000 repositories are affected with new ones added every 30 minutes. https://t.co/QMu4zXAvQx,,https://x.com/securityRSS/status/1992965017302343716,en,,0,0,0,0,1836873881803493400,2025-11-24 21:34:22
1992964815904805400,1992964815904805400,TheCyberSecHub,,Shai-Hulud malware infects 500 npm packages leaks secrets on GitHub https://t.co/DZ9LFyZXqm #Security,,https://x.com/TheCyberSecHub/status/1992964815904805302,en,Global,0,0,0,0,792791914525429800,2025-11-24 21:33:34
